exercise_id,muscle_id,role,source
31,6,secondary,user-ruling R2; deadlift works the whole back
31,31,secondary,movement-analysis; the bar is held throughout
31,33,secondary,movement-analysis
32,30,primary,movement-analysis; pronated grip -> brachioradialis is a prime mover
32,26,primary,movement-analysis; pronated grip -> brachialis is a prime mover
32,29,secondary,movement-analysis
33,31,primary,movement-analysis
33,8,secondary,movement-analysis
33,12,secondary,movement-analysis
33,41,secondary,movement-analysis; unilateral-loaded carry resists lateral flexion
34,33,primary,movement-analysis
34,35,secondary,movement-analysis
34,31,secondary,movement-analysis; the dumbbells are held throughout
35,3,primary,movement-analysis
35,19,secondary,movement-analysis
35,15,secondary,movement-analysis
36,31,primary,movement-analysis
37,17,primary,movement-analysis
37,9,primary,movement-analysis
37,10,secondary,movement-analysis
37,11,secondary,movement-analysis
38,6,primary,movement-analysis
38,9,primary,movement-analysis
38,11,primary,movement-analysis
38,23,secondary,movement-analysis
38,12,secondary,movement-analysis; the unsupported torso is held against gravity
39,23,primary,movement-analysis
40,6,primary,movement-analysis
40,23,secondary,movement-analysis
41,4,primary,movement-analysis
41,19,secondary,movement-analysis
42,33,primary,movement-analysis
42,35,secondary,movement-analysis
43,36,primary,movement-analysis
44,2,primary,movement-analysis
44,15,secondary,user-ruling R2; the shoulder can be the LIMITING factor on incline
44,19,secondary,movement-analysis
45,6,primary,movement-analysis
45,9,primary,movement-analysis
45,23,secondary,movement-analysis
46,19,primary,movement-analysis; the close grip makes elbow extension the limiting action
46,3,secondary,movement-analysis
46,15,secondary,movement-analysis
47,23,primary,movement-analysis
47,30,secondary,movement-analysis; the semi-supinated EZ grip recruits brachioradialis
50,15,primary,movement-analysis
51,28,primary,movement-analysis
52,8,primary,movement-analysis
52,31,secondary,movement-analysis; load is held in the hands throughout
53,31,primary,movement-analysis
53,8,secondary,movement-analysis
54,31,primary,movement-analysis
54,6,secondary,movement-analysis; the hanging shoulder is held in extension
55,6,primary,movement-analysis
55,9,primary,movement-analysis
55,11,primary,movement-analysis
55,23,secondary,movement-analysis
55,12,secondary,movement-analysis; the unsupported torso is held against gravity
56,6,primary,movement-analysis
56,13,secondary,movement-analysis
56,23,secondary,movement-analysis
56,9,secondary,movement-analysis
57,3,primary,movement-analysis
57,19,secondary,movement-analysis
57,15,secondary,movement-analysis
58,35,primary,movement-analysis
58,34,secondary,movement-analysis
59,20,primary,movement-analysis; the overhead position stretches the long head
60,6,primary,movement-analysis
60,23,secondary,movement-analysis
61,16,primary,movement-analysis
62,6,primary,movement-analysis
62,13,secondary,movement-analysis
62,23,secondary,movement-analysis
63,4,primary,movement-analysis
63,19,secondary,movement-analysis
64,3,primary,movement-analysis
64,19,secondary,movement-analysis
64,15,secondary,movement-analysis
65,3,primary,movement-analysis
65,19,secondary,movement-analysis
65,15,secondary,movement-analysis
66,36,primary,movement-analysis
67,16,primary,movement-analysis
68,40,primary,movement-analysis
68,42,secondary,movement-analysis
68,6,secondary,movement-analysis
69,40,primary,movement-analysis
69,41,secondary,movement-analysis
70,40,primary,movement-analysis
71,40,primary,movement-analysis
72,40,primary,movement-analysis
72,38,secondary,movement-analysis
73,40,primary,movement-analysis
73,42,primary,movement-analysis
74,40,primary,movement-analysis
74,38,primary,movement-analysis
74,31,secondary,movement-analysis; the body hangs from the hands throughout
75,40,primary,movement-analysis
75,38,primary,movement-analysis
75,31,secondary,movement-analysis; the body hangs from the hands throughout
76,42,primary,movement-analysis
76,40,secondary,movement-analysis
77,41,primary,movement-analysis
77,42,secondary,movement-analysis
